objectid,id_punto,nombreestablecimiento,direccion,municipio,barrio,estado,longitud,latitud
373,373,Caminante,DG 44 29 40,Itagui,Itagui,En servicio,-75.61766864,6.1623585
374,374,Camparola,CL 34A 44 06,Itagui,Itagui,En servicio,-75.61817696,6.16569016
375,375,Campo Amor,CR 54 4 81,Medellín,Guayabal,En servicio,-75.58804836,6.20579611
376,376,Campo Amor,CL 6 57 20,Medellín,Guayabal,En servicio,-75.58539707,6.21332598
377,377,Carrefour Las Vegas,CR 48 25 SUR 136,Itagui,Itagui,En servicio,-75.590931,6.187879
378,378,Casa Vieja,CR 52 D 76 30,Itagui,Itagui,En servicio,-75.59697202,6.1872198
379,379,CC MAYORCA LOCAL 356,CL 51 SUR   48 57,Itagui,Itagui,En servicio,-75.60540534,6.16185605
380,380,Cencosud Metro Itagui,CL 50 52 21,Itagui,Itagui,En servicio,-75.61179973,6.17378412
381,381,Centro Comercial La Torre,CR 52 D 77 69,Itagui,Itagui,En servicio,-75.59585666,6.18824481
382,382,Centro De Belleza,CL 51 A SUR CR 61 54,Medellín,Resto San Antonio De Prado,En servicio,-75.64134,6.17592
383,383,Centro Médico,CR 50 A 36 24,Itagui,Itagui,En servicio,-75.6202654,6.16703395
384,384,Chatanoga,CR 51 52 17,Itagui,Itagui,En servicio,-75.60845445,6.17341842
385,385,Chimeneas,CR 52 D 84 14,Itagui,Itagui,En servicio,-75.59249054,6.19117568
386,386,Clinica Qap,CL 44 48 78,Itagui,Itagui,En servicio,-75.61326146,6.16886383
387,387,Color Interno Papeleria Mixta,CR 50 CL 76 21,Itagui,Itagui,En servicio,-75.59466,6.185
388,388,Comidas Tomilu,CR 82 41 SUR  32,Medellín,San Antonio De Prado,En servicio,-75.6581803,6.18563209
389,389,Confecciones,CR 50 75 18,Itagui,Itagui,En servicio,-75.59529032,6.18419121
390,390,Corona Itagui,CR 50 77 01,Itagui,Itagui,En servicio,-75.59459414,6.18524328
391,391,Cristo Rey 1,CR 51B 2 SUR 04,Medellín,Guayabal,En servicio,-75.58548674,6.20633877
392,392,De Uno Itagui,CL 40 51 26,Itagui,Itagui,En servicio,-75.613992,6.169439
